"TIA","Albania","AV INTERNATIONAL-A/AV INTERNATIONAL/","1","3.35834","**Perflight Fees are not included.  HOOK-UP FEE: 10** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Hours of Operation: From 07:00 to 23:00 Monday to Sunday (Except holidays) & On call 24 /7 2) Ramps serviced: All ramps. 3) Additional Information: Below fees may apply: Refuelling outside Operating schedule time Refuelling on Official Bank Holiday Refuelling below 1.000 Liter No fuel charge (In case no refuel outside operating hours request or in case the operators goes underwing to the operator request) Refuelling with passengers during embarking, disembarking, on board. Excise and Carbon Tax VAT for Domestic flights. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"CRZ","Turkmenistan","AIRPORT AUTHORITY-TECH STOPS-A/SHANNON AIR GROUND HANDLING EUROPE LTD/","1","9.40372","**Perflight Fees are not included.  INTOPLANE FEE: 60** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"CRZ","Turkmenistan","AIRPORT AUTHORITY-TECH STOPS-A/SHANNON AIR GROUND HANDLING EUROPE LTD/","994","9.40372","**Perflight Fees are not included.  INTOPLANE FEE: 60** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"CRZ","Turkmenistan","AIRPORT FUEL SUPPLY COMPANY-CARGO-A/ASTER AVIATION SERVICES DMCC/","1","2.90826","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"CRZ","Turkmenistan","AIRPORT FUEL SUPPLY COMPANY-CARGO-A/ASTER AVIATION SERVICES DMCC/","330.23","2.90826","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"CRZ","Turkmenistan","AIRPORT FUEL SUPPLY COMPANY-PAX-A/ASTER AVIATION SERVICES DMCC/","1","3.26777","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"CRZ","Turkmenistan","AIRPORT FUEL SUPPLY COMPANY-PAX-A/ASTER AVIATION SERVICES DMCC/","330.23","3.26777","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"KRW","Turkmenistan","AIRPORT AUTHORITIES-COMMERCIAL LANDING-A/SHANNON AIR GROUND HANDLING EUROPE LTD/","1","9.31872","**Perflight Fees are not included.  INTOPLANE FEE: 60** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","1) Minimum Notice Required: One day prior notice for fuel/services, but note, that 5 days prior notice required for the permit. 2) Operating Hours: 24/7 3) Ramps serviced: All via Airport Authority 4) Additional Information: Fuel can only be arranged along with Ground Handling, please contact your local fuel logistics team on fuel24@wfscorp.com ** For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"KRW","Turkmenistan","AIRPORT AUTHORITIES-TECH-STOP LANDING-A/SHANNON AIR GROUND HANDLING EUROPE LTD/","1","9.31872","**Perflight Fees are not included.  INTOPLANE FEE: 60** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","1) Minimum Notice Required: One day prior notice for fuel/services, but note, that 5 days prior notice required for the permit. 2) Operating Hours: 24/7 3) Ramps serviced: All via Airport Authority 4) Additional Information: Fuel can only be arranged along with Ground Handling, please contact your local fuel logistics team on fuel24@wfscorp.com ** For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"KRW","Turkmenistan","AIRPORT FUEL SUPPLY COMPANY-CARGO-A/ASTER AVIATION SERVICES DMCC/","1","2.82326","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"KRW","Turkmenistan","AIRPORT FUEL SUPPLY COMPANY-CARGO-A/ASTER AVIATION SERVICES DMCC/","330.23","2.82326","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"KRW","Turkmenistan","AIRPORT FUEL SUPPLY COMPANY-PAX-A/ASTER AVIATION SERVICES DMCC/","1","3.18277","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"KRW","Turkmenistan","AIRPORT FUEL SUPPLY COMPANY-PAX-A/ASTER AVIATION SERVICES DMCC/","330.23","3.18277","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"MYP","Turkmenistan","SHANNON AIR LINK COMMERCIAL LANDINGS-A/SHANNON AIR GROUND HANDLING EUROPE LTD/","1","3.18579","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","** Minimum Fee applies at this location ** 1) Operating Hours: 24/7 2) Minimum Notice Required: 24 Hours 3) Ramps serviced: via Airport Authority 4) Additional Information: Fuel can only be arranged along with Ground Handling Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"MYP","Turkmenistan","SHANNON AIR LINK TECH STOPS-A/SHANNON AIR GROUND HANDLING EUROPE LTD/","1","2.85648","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","** Minimum Fee applies at this location ** 1) Operating Hours: 24/7 2) Minimum Notice Required: 24 Hours 3) Ramps serviced: via Airport Authority 4) Additional Information: Fuel can only be arranged along with Ground Handling Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"MYP","Turkmenistan","AIRPORT FUEL SUPPLY COMPANY-PAX-A/ASTER AVIATION SERVICES DMCC/","1","3.18277","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"MYP","Turkmenistan","AIRPORT FUEL SUPPLY COMPANY-PAX-A/ASTER AVIATION SERVICES DMCC/","330.23","3.18277","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"MYP","Turkmenistan","AIRPORT FUEL SUPPLY COMPANY-CARGO-A/ASTER AVIATION SERVICES DMCC/","1","2.82326","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"MYP","Turkmenistan","AIRPORT FUEL SUPPLY COMPANY-CARGO-A/ASTER AVIATION SERVICES DMCC/","330.23","2.82326","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: TS-1**","N/A","01-Dec-25"
"PLS","Turks and Caicos Islands","PROVO AIR CENTER-A/PROVO AIR CENTER/","1","4.85078","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: 24 Hours required when fuel is required after 17:00 local. 2) Ramps serviced : Provo Air Center can handle your aircraft anywehre on the field 3) Additional Information: Nil for more information please contact your local fuel logistics team on fuel24@wfscorp.com","02-Dec-25"
"PLS","Turks and Caicos Islands","ATLANTIC AVIATION-A/BLUE HERON LTD DBA ATLANTIC AVIATION/","1","99999","Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**","N/A","06-Aug-25"
"PLS","Turks and Caicos Islands","ATLANTIC AVIATION-A/BLUE HERON LTD DBA ATLANTIC AVIATION/","201","99999","Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**","N/A","06-Aug-25"
"PLS","Turks and Caicos Islands","ATLANTIC AVIATION-A/BLUE HERON LTD DBA ATLANTIC AVIATION/","401","99999","Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**","N/A","06-Aug-25"
"PLS","Turks and Caicos Islands","ATLANTIC AVIATION-A/BLUE HERON LTD DBA ATLANTIC AVIATION/","601","99999","Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**","N/A","06-Aug-25"
"PLS","Turks and Caicos Islands","ATLANTIC AVIATION-A/BLUE HERON LTD DBA ATLANTIC AVIATION/","801","99999","Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**","N/A","06-Aug-25"
"PLS","Turks and Caicos Islands","PROVO AIR CENTER-A/PROVO AIR CENTER/","1","4.97078","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JETA-ADDITIVE**","1) Minimum notice required: 24 Hours required when fuel is required after 17:00 local. 2) Ramps serviced : Provo Air Center can handle your aircraft anywehre on the field 3) Additional Information: Nil for more information please contact your local fuel logistics team on fuel24@wfscorp.com","02-Dec-25"
"XSC","Turks and Caicos Islands","PROVO AIR CENTER-A/PROVO AIR CENTER/","1","6.97028","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","02-Dec-25"
"EBB","Uganda","VIVO ENERGY UGANDA-A/VIVO ENERGY UGANDA/","1","3.03318","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Operating Hours: 24/7 Operation Ramps serviced:All ramps Additional Comments: For more information please contact your local fuel logistics team on fuel24@wfscorp.com","14-Dec-25"
"AAN","United Arab Emirates","ADNOC-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/","1","2.95457","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 2) Ramps serviced: 3) Additional Information: Fees are subject to change without prior notice. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"AUH","United Arab Emirates","ADNOC-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/","1","2.67407","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required:24Hours 2) Ramps serviced:All Ramps Other than Military appron. NO ACCESS TO Al-REEF APRON. 3) Additional Information: For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"AZI","United Arab Emirates","ADNOC-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/","1","2.94907","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 24Hours 2) Ramps serviced: All Ramps 3) Additional Information: For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"DWC","United Arab Emirates","EPPCO AVIATION-GENERAL AVIATION RAMP-A/ENOC INTERNATIONAL SALES LLC/","1","2.50437","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 24/7 2) Ramps serviced: General Aviation ramp: VIP FBOs area and Emirates Academy. 3) Additional Information: VAT applies to Domestic Flights, Military, Government, Presidential, Private, and Ferry Flights. Fees are subject to change without prior notice. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"DWC","United Arab Emirates","ADNOC-GA RAMP-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/","1","2.58479","**Perflight Fees are not included.  HOOK-UP FEE: 20.42** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 24/7 Operation. 2) Ramps serviced: General Aviation ramp: VIP FBOs area and Emirates Academy. If you are operating a GA flight please select the GA Ramp option as this is the rate that will be applied to the fuelling. 3) Additional Information: VAT applies to Domestic Flights, Military, Government, Presidential, Private, and Ferry Flights. Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"DXB","United Arab Emirates","EPPCO AVIATION-A/ENOC INTERNATIONAL SALES LLC/","1","2.45437","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 24 Hours 2) Ramps serviced: All Ramps 3) Additional Information: Domestic Flights or diversion: local taxes will apply For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"FJR","United Arab Emirates","EPPCO AVIATION-A/ENOC INTERNATIONAL SALES LLC/","1","2.69858","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","15-Dec-25"
"NHD","United Arab Emirates","ENOC-A/ENOC INTERNATIONAL SALES LLC/","1","5.27918","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 24 Hours 2) Ramps serviced: All Ramps 3) Additional Information: VAT applies on all flights Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","05-Dec-25"
"RKT","United Arab Emirates","ADNOC-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/","1","2.91457","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 24Hours 2) Ramps serviced: All Ramps 3) Additional Information: For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"SHJ","United Arab Emirates","SASCO-A/ADNOC DISTRIBUTION (AVIATION SALES DEPARTMENT)/","1","2.71457","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: As much notice as possible due to difficult communications at this location 2) Ramps serviced: All Ramps 3) Additional Information: Supplier cannot arrange DE-FUELING For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"025","United Kingdom","MAKINS LTD-A/MAKINS LTD/","1","4.56788","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","14-Nov-25"
"298","United Kingdom","ROYAL AIR FORCE-A/DEFENCE BUSINESS SERVICES/","1","3.27609","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","01-Dec-25"
"315","United Kingdom","CRANFIELD AIRPORT-A/CRANFIELD UNIVERSITY/TRUCK","1","5.27251","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","09-Dec-25"
"315","United Kingdom","CRANFIELD AIRPORT-A/CRANFIELD UNIVERSITY/TRUCK","1320.87","4.7692","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","09-Dec-25"
"ABZ","United Kingdom","SIGNATURE FLIGHT SUPPORT-A/SIGNATURE FLIGHT SUPPORT UK REGIONS LTD/","1","4.42686","**Perflight Fees are not included.  HOOK-UP FEE: 62.49086** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: From 0530 to 2030 UTC, 7 days a week. 2) Ramps serviced: All airport locations serviced 3) Additional Information: U.K VAT is based on a scale, Up to 2300 Litres 5%, 2300 Litres and above 20% For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"ABZ","United Kingdom","GRAMPIAN AVIATION FUELING SERVICES LTD (USD / USG)-A/WORLD FUEL SERVICES AVIATION LTD/","1","2.82969","**Perflight Fees are not included.  HOOK-UP FEE: 75.81338** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating hours: From 05:30 to 21:30 local. 2) Ramps serviced: All ramps 3) Additional Information: U.K VAT is based on a scale, Up to 2300 Litres 5%, 2300 Litres and above 20% For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"ABZ","United Kingdom","GRAMPIAN AVIATION FUELING SERVICES LTD (GBP / M3)-A/WORLD FUEL SERVICES AVIATION LTD/","1","2.83753","**Perflight Fees are not included.  HOOK-UP FEE: 75.81338** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating hours: From 05:30 to 21:30 local 2) Ramps serviced: All ramps 3) Additional Information: U.K VAT is based on a scale, Up to 2300 Litres 5%, 2300 Litres and above 20% For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"ABZ","United Kingdom","GRAMPIAN AVIATION FUELING SERVICES LTD (EUR / M3)-A/WORLD FUEL SERVICES AVIATION LTD/","1","2.84581","**Perflight Fees are not included.  HOOK-UP FEE: 75.81338** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating hours: From 05:30 to 21:30 local. 2) Ramps serviced: All ramps. 3) Additional Information: Please be aware that U.K. VAT is based on a scale, Up to 2300 Litres 5%, 2300 Litres and above 20% For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"BEX","United Kingdom","ROYAL AIR FORCE-A/DEFENCE BUSINESS SERVICES/","1","3.27609","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","01-Dec-25"
"BFS","United Kingdom","GLOBAL TREK AVIATION-A/GLOBAL TREK AVIATION/","1","3.47889","**Perflight Fees are not included.  HOOK-UP FEE: 53.18371** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 24/7 Operation. 2) Ramps serviced: FBO is located on Apron DELTA and can service anywhere on the Airport 3) Additional Information: U.K VAT is based on a scale, Up to 2300 Litres 5%, 2300 Litres and above 20% For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"BFS","United Kingdom","NORTH AIR (USD/USG)-A/WORLD FUEL SERVICES AVIATION LTD/","1","2.88369","**Perflight Fees are not included.  ATTENDANCE FEE: 65.50903** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 24/7 Operation. 2) Ramps serviced: Can only fuel on Main apron. 3) Additional Information: If applicable. No Fuel fees may apply. U.K VAT is based on a scale, Up to 2300 Litres 5%, 2300 Litres and above 20% ** Customers are responsible for declaring/paying Airport Fuel Duty/Levy Fee to the HMRC if they use the purchase of fuel for private/pleasure flying . The ITP agent can supply aircraft at RAF Aldergrove, however, because of where this is situated to the main apron, supply can only be made within the hours of 0700 to 1530 hrs, Monday to Friday . The volume must be sizeable and the availability to travel to RAF Aldergove to refuel aircraft will be dependant on the activity at BFS International airport (on the main apron). Requirements on the main apron take priority and if we are unable to travel to RAF Aldergrove for whatever reason to refuel the aircraft, the aircraft will have to move to the main apron instead to be refuelled. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"BFS","United Kingdom","NORTH AIR (GBP/M3)-A/WORLD FUEL SERVICES AVIATION LTD/","1","2.8839","**Perflight Fees are not included.  ATTENDANCE FEE: 65.50903** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 24/7 Operation. 2) Ramps serviced: Can only fuel on Main apron. 3) Additional Information: If applicable. No Fuel fees may apply. U.K VAT is based on a scale, Up to 2300 Litres 5%, 2300 Litres and above 20% ** Customers are responsible for declaring/paying Airport Fuel Duty/Levy Fee to the HMRC if they use the purchase of fuel for private/pleasure flying . The ITP agent can supply aircraft at RAF Aldergrove, however, because of where this is situated to the main apron, supply can only be made within the hours of 0700 to 1530 hrs, Monday to Friday . The volume must be sizeable and the availability to travel to RAF Aldergove to refuel aircraft will be dependant on the activity at BFS International airport (on the main apron). Requirements on the main apron take priority and if we are unable to travel to RAF Aldergrove for whatever reason to refuel the aircraft, the aircraft will have to move to the main apron instead to be refuelled. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
